"TEAM","YEAR","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","dbpr_Player.1","dbpr_Player.2","dbpr_Player.3","dbpr_Player.4","dbpr_Player.5","dbpr_Player.6","dbpr_Player.7","dbpr_Player.8","obpr_Player.1","obpr_Player.2","obpr_Player.3","obpr_Player.4","obpr_Player.5","obpr_Player.6","obpr_Player.7","obpr_Player.8","elo"
"Akron",2017,"MAC",35,27,111.1,105.4,0.6488,55.1,51,17.2,16.7,29.4,27.9,37.3,32.9,55,49,36.8,36.8,67.4,-1.9,NA,NA,-0.074683876,0.842860593,0.600748503,-0.080531136,-0.455436119,-0.394874917,-0.696176114,0.251974697,3.37045916,2.439927453,1.807789672,2.171526152,2.486580514,2.018072086,1.779609701,0.799608339,1713.140014
"Akron",2018,"MAC",31,14,102.4,107.5,0.3634,51.5,54.2,19.8,18.5,27,28.3,31.4,39.1,49.9,54.1,35.6,36.1,68.9,-12.1,NA,NA,0.896052072,-0.191853006,-0.711656454,-0.464226165,-0.730952977,-0.908602982,-1.321595318,-0.59371915,0.358112255,0.945802358,0.977863808,0.661065389,0.446578248,-0.224460015,-0.19562733,-2.852259183,1497.403717
"Akron",2019,"MAC",31,17,98.4,92.9,0.6586,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,67.5,-8.1,NA,NA,1.307175673,0.75001627,2.283441171,-0.228424271,1.947804923,1.191142029,1.386973004,1.648666831,1.329286973,1.162447153,-1.187155755,0.821728183,-1.386626536,-0.755256376,-1.172559769,-1.836205175,1538.303837
"Akron",2021,"MAC",21,15,106.6,102,0.6237,51.5,48.6,17,16.4,30,28.8,30.7,27.3,52.7,49.3,33.4,31.6,68.4,-3.1,"N/A",NA,1.940973471,-0.502769286,0.008024273,-0.067780914,0.383187331,-0.471210335,-0.135203933,-0.175506461,2.370633964,4.270681441,1.295394646,1.079774766,0.294714281,0.265685343,-0.507131602,-0.784261622,1619.509138
"Akron",2022,"MAC",32,24,105.5,101.7,0.6041,52.5,49.1,17.7,17.5,29,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,"R64","13",2.411555825,0.421008053,-0.177541061,1.156984511,-0.800467827,-0.450727959,-0.518391162,1.368144358,2.687873077,1.987839083,1.630579685,0.121316839,0.890614033,0.512654616,-0.147024874,-2.63881323,1637.725631
"Akron",2023,"MAC",31,22,108.6,103,0.6479,51.9,49.7,16.6,17.8,29.8,26.5,33.7,28,51.5,48.1,35,35,65.2,-4.9,"N/A","N/A",2.046930644,0.033205326,0.230039691,0.979886295,0.037017799,0.036973427,0.047703497,-0.744506104,3.521122752,3.798770239,1.39987872,0.467888907,0.541132341,0.42120584,-0.489953033,-0.56168936,1628.848089
"Akron",2024,"MAC",32,24,105,101.6,0.5953,52,48.6,17.2,16.6,29.5,25.6,33.6,29,54.8,50.7,32,30,65.7,-4.5,NA,"14",2.544226339,1.416859436,0.196500302,0.569710505,0.049257225,0.372792572,0.118421942,0.509105381,3.006246201,0.747628692,1.284323527,0.875792282,0.933233375,0.373950428,0.312989579,-0.444687872,1689.119894
"Alabama",2013,"SEC",35,22,102.6,89.7,0.8243,47.9,45.7,19.9,22.6,32,32.9,33.9,32.7,47.1,45.2,33,31.3,61.7,-1.5,NA,NA,1.158838159,2.203407878,1.944384703,2.36574243,0.339072054,2.027455855,1.405356406,1.47015585,2.397643564,1.310576176,0.791574227,-0.155860699,1.321742079,-0.535961422,-0.230076869,-0.378982792,1645.530213
"Alabama",2014,"SEC",31,12,108.3,98,0.7585,49.4,47,18.3,19.3,30,34.5,44,41.3,49.1,47.5,33.3,30.7,63.7,-6.1,NA,NA,0.914027402,1.120234927,3.0191948,1.054780673,0.469857634,1.313364433,0.455248162,0.679276162,3.42254116,1.478614138,-0.468012418,0.764349128,1.16162292,-0.673420092,-0.155384175,-0.432939976,1513.66059
"Alabama",2015,"SEC",33,18,110.1,98.2,0.7881,50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,52.3,46.5,32.2,32.6,62.8,-1.7,NA,NA,1.295817407,1.811605298,0.345785209,1.762560985,0.129687836,1.79942291,1.153845991,-0.769965212,3.120810205,1.243181965,2.623262324,1.070474743,2.195831377,0.400776092,0.832730869,1.655002172,1619.647566
"Alabama",2016,"SEC",33,18,105.4,96.3,0.7387,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,-0.6,NA,NA,2.062098666,2.25781469,1.614531117,1.061107642,1.106409465,1.765781428,1.406987745,0.241633841,1.361382624,0.260463249,0.642219067,0.97058726,0.344836347,-0.458225702,-0.234690411,0.499568286,1611.830552
"Alabama",2017,"SEC",34,19,104.4,91.8,0.8142,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,48.7,44.2,31.7,33.3,66.6,-1.8,NA,NA,3.225982786,2.13452654,3.897816544,2.086338638,2.470347953,1.808256677,1.840127942,1.386742732,0.988293167,1.380660509,-0.518187957,1.16499717,0.721248867,-0.057437301,-0.180837032,0.15422785,1572.649514
"Alabama",2018,"SEC",36,20,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,"R32","9",2.283467789,0.595708659,2.752225103,1.643130986,0.609666399,2.908004418,1.623489593,1.124501838,2.513974976,3.455689895,0.721050313,1.685606355,1.126324737,-1.376202572,-0.192949404,-0.005088821,1639.000355
"Alabama",2019,"SEC",34,18,107.4,95.6,0.7931,50.3,48.9,19.5,16.9,31.5,28,38,29.6,49.9,48.5,34,33.3,70.1,-0.2,NA,NA,1.854355404,1.058956402,3.030140583,0.869101334,0.571143006,0.503106503,0.625298805,0.443599261,2.494187554,1.848490342,-0.188474075,1.925006291,1.552257085,1.228505595,1.017232276,0.685101872,1625.425992
"Alabama",2021,"SEC",30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,"S16","2",3.611610641,3.654979579,2.393137993,1.865620112,0.953569015,0.787692721,2.073204263,2.548171847,2.440146875,1.060171933,2.270554227,2.270019308,3.130545696,3.052254543,1.702690127,1.078061712,1703.83832
"Alabama",2022,"SEC",33,19,115.2,98.3,0.8612,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2,"R64","6",2.567501371,2.094923879,0.581327247,0.512936756,0.573151767,1.887995969,0.396734122,0.523922585,3.234194404,1.527030532,2.928863292,2.813386769,2.673946448,1.071536789,2.405199866,2.030663115,1736.689164
"Alabama",2023,"SEC",37,31,116.1,89,0.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,"S16","1",3.495353502,4.424892905,1.823882456,1.95931827,3.195527707,1.398643641,2.117994002,1.563279801,4.115944946,2.695841271,3.446784578,3.065268691,1.56452787,2.791808587,1.754698557,2.253892181,1812.711518
